generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
67,98,-2131.869844115918,-239.69549025979467,-1232.5273871732034,699.4345035525607,129.69549025979467,128.71362330566816,0.729
68,98,-2117.9994605621805,-239.69549025979467,-1163.572771889497,718.4304450920023,129.69549025979467,129.0314820593683,0.637
69,98,-2117.9994605621805,-239.69549025979467,-1091.5537262530174,726.7462038186691,129.69549025979467,128.72713794828962,0.66
70,98,-2112.1150847361605,-239.69549025979467,-1261.5968281692847,681.7510337241208,129.69549025979467,128.3273959129732,0.721
71,98,-2131.869844115918,-230.57288925117788,-1259.4551000669287,700.265506925649,120.57288925117788,128.75181200327677,0.692
72,98,-2152.6604030191047,-224.27204939733838,-1185.4582129091052,699.7490400404122,114.27204939733838,127.08808057171274,0.644
73,98,-2183.23554208347,-224.27204939733838,-1177.6151230498463,690.2553320777456,114.27204939733838,126.58596013246839,0.663
74,98,-2063.376738127933,-224.27204939733838,-1262.7126830117804,667.702091923963,114.27204939733838,125.3168080290756,0.766
75,98,-2001.6332256678324,-224.27204939733838,-1250.352123021227,610.2943482132695,114.27204939733838,122.90321069695621,0.698
76,98,-2093.101157638524,-224.27204939733838,-1255.3241988944849,657.8647333322011,114.27204939733838,123.20838744637216,0.803
77,98,-2094.1089419698746,-224.27204939733838,-1107.9375443283393,665.9613245067204,114.27204939733838,119.11220479814581,0.646
78,98,-2014.347467817636,-224.27204939733838,-1126.9008514712775,702.1655351143634,114.27204939733838,119.84267660648577,0.697
79,98,-1966.9160708066252,-224.27204939733838,-1040.4388796288672,676.076431319624,114.27204939733838,118.233171671843,0.577
80,98,-1951.5626274438541,-221.4114123556523,-1144.1950932410625,650.5594681313903,111.41141235565229,118.49783693399186,0.721
81,98,-2013.759603338482,-221.4114123556523,-1156.5637400461583,663.3337343562945,111.41141235565229,117.01607452245105,0.633
82,98,-1892.3063123852564,-221.4114123556523,-1258.5805526710594,604.0933605465569,111.41141235565229,117.96949900977259,0.726
83,98,-2007.3480637271268,-221.28751787218175,-1096.9875478264175,643.4999327059357,111.28751787218175,117.21228496641207,0.662
84,98,-2194.0880269948498,-221.28751787218175,-1066.7064083287337,674.1760790716074,111.28751787218175,117.7231937809036,0.693
85,98,-1973.990075275005,-221.28751787218175,-1146.8869958424978,654.9169649358115,111.28751787218175,117.41290774001467,0.706
86,98,-2221.9590703959757,-221.28751787218175,-1159.2411160039376,672.8047660417342,111.28751787218175,118.6901415250774,0.716
87,98,-1992.2790866761259,-221.28751787218175,-981.8246893913602,681.1328128584965,111.28751787218175,116.28930986665023,0.629
88,98,-1867.9424252614301,-221.28751787218175,-1049.658894175203,661.1197195980656,111.28751787218175,115.6927372133174,0.653
89,98,-1902.979345766223,-221.28751787218175,-942.4088333408611,666.0133727281627,111.28751787218175,115.61459325442587,0.625
90,98,-2051.6158607815814,-221.28751787218175,-1111.7959341044602,675.3836269468449,111.28751787218175,116.72673114929802,0.754
91,98,-1901.0703436660501,-221.28751787218175,-1026.6071584800206,667.1519005258681,111.28751787218175,115.0182128953552,0.704
92,98,-1943.7887860599537,-221.28751787218175,-1118.0014578744099,691.7649632300293,111.28751787218175,117.23470179552909,0.728
93,98,-1988.8707556408226,-221.28751787218175,-979.0765665750687,676.8096912746612,111.28751787218175,115.33373489372823,0.628
94,98,-1860.6199845011815,-221.19672035857064,-794.0602006883952,643.9790975792342,111.19672035857064,113.94688226469067,0.395
95,98,-1943.7887860599537,-221.19672035857064,-933.4863842465755,679.927155909079,111.19672035857064,115.07038191086724,0.679
96,98,-1961.1733652048815,-221.19672035857064,-1093.8085232626665,657.6619693116816,111.19672035857064,115.42157410830076,0.632
97,98,-1946.8493362834909,-221.19672035857064,-1074.3158964986317,656.7709999854653,111.19672035857064,116.709334804395,0.723
98,98,-1940.1755753826283,-221.19672035857064,-1094.6794932245243,662.9403286980211,111.19672035857064,115.51734347720168,0.645
99,98,-1864.4112574317546,-221.19672035857064,-1101.5619657579794,621.5855880208284,111.19672035857064,114.4276633411125,0.69
100,98,-1941.4600846971791,-221.19672035857064,-1088.824276121063,699.1764776338634,111.19672035857064,117.0201214297186,0.771
101,98,-1805.6241464408072,-221.19672035857064,-949.012009039969,653.4586780795886,111.19672035857064,114.31902262360937,0.571
102,98,-1905.0984567288617,-221.19672035857064,-1072.1837443870709,683.1119547226385,111.19672035857064,116.53842281602793,0.726
103,98,-1964.4137287922567,-221.19672035857064,-1082.53985325525,641.0130881583758,111.19672035857064,116.89303167346989,0.627
104,98,-2004.0957214133002,-221.19672035857064,-970.1021192288755,687.9047072973518,111.19672035857064,115.36787072560378,0.579
105,98,-1868.0912630932592,-221.19672035857064,-850.4328470118053,651.8589936643035,111.19672035857064,113.08050017295199,0.602
106,98,-1893.2790575044728,-221.19672035857064,-938.7169538122316,681.0238874236679,111.19672035857064,114.60142378623091,0.639
107,98,-1942.996708088759,-221.19672035857064,-967.4445683306545,678.6925297639725,111.19672035857064,115.86301718073739,0.627
108,98,-1855.9211344169642,-221.19672035857064,-948.042837215542,677.5327278946987,111.19672035857064,115.8231151844935,0.603
109,98,-1955.4756777570585,-221.19672035857064,-1020.0058191996878,670.2396094018503,111.19672035857064,116.05474270352238,0.608
110,98,-1914.781569066523,-221.19672035857064,-1016.8802557930651,681.67216200515,111.19672035857064,116.6594870834481,0.699
111,98,-1878.047185996796,-221.19672035857064,-992.8176882270607,684.4772074914799,111.19672035857064,116.2907796217331,0.596
112,98,-1893.931755015152,-221.19672035857064,-1082.929898280411,638.5181494617051,111.19672035857064,114.50454202916298,0.652
113,98,-2027.6349574763015,-221.19672035857064,-1086.4836812802055,664.7234369439582,111.19672035857064,117.14689554949358,0.712
114,98,-1915.1583986905177,-221.19672035857064,-958.4645112603872,685.2592226785405,111.19672035857064,114.87869558318896,0.702
115,98,-1936.8297340673696,-221.19672035857064,-1072.3607504981067,648.717249542193,111.19672035857064,115.19042058037734,0.726
116,98,-1894.562218121275,-221.19672035857064,-1071.7085047120136,639.8863105191167,111.19672035857064,113.80714330911735,0.654
117,98,-1889.9733131222506,-221.19672035857064,-1077.5859995943013,634.3110706139349,111.19672035857064,114.4256406316555,0.602
118,98,-1920.3549906255248,-221.19672035857064,-968.6305810739417,688.7546134138927,111.19672035857064,115.84098915580276,0.682
119,98,-1929.8132988927775,-221.19672035857064,-936.7942754406473,672.2132068660682,111.19672035857064,114.33647199747169,0.584
120,98,-1856.7855349795734,-221.19672035857064,-1062.7372978509068,658.1000361221288,111.19672035857064,113.53939141964494,0.677
121,98,-1914.1400166523326,-221.19672035857064,-1140.063127825086,627.8463136589994,111.19672035857064,114.29587693814369,0.767
122,98,-1941.6352903127931,-221.19672035857064,-1128.5634073346932,643.1798580794227,111.19672035857064,115.23842811444557,0.716
123,98,-1835.4790781419235,-221.19672035857064,-1194.780694320039,611.6116872606485,111.19672035857064,114.68988942524868,0.741
124,98,-2052.6641234754443,-221.19672035857064,-1188.288172468468,647.3684992424398,111.19672035857064,116.64127069192517,0.753
125,98,-1940.3379431443032,-221.19672035857064,-1011.8793511744236,638.5592953887945,111.19672035857064,115.20705598334752,0.66
126,98,-1970.2916650475604,-221.19672035857064,-958.2831767924794,692.6561634658012,111.19672035857064,115.56611826254155,0.638
127,98,-1917.2098956264526,-221.19672035857064,-934.8121218760712,679.6080164924607,111.19672035857064,115.7665247842505,0.551
